	variant	WordOrtho	WordPhono	WordDuration	leftOrtho	Interfix	rightOrtho	leftPhonoCELEX	IfixPhonoCELEX	rightPhonoCELEX	leftPhono	IfixPhono	rightPhono	LeftDuration	RightDuration	IfixDuration	SpeechRate	SubtlexAbsFreq	SameLeftAndIfixFQ	SameLeftFQ	SameLeftDiffIfixFQ	RelFreq	SameLeftAndIfix	SameLeft	SameLeftDiffIfix	IfixNum	ParaProbType	RightPositionalEntropy	TypeSegmentalInfo
1076	Netherlandic	diplomatenkoffertje	diplomat@kOf@rtj@	1.129000000000019	diplomaat	en	koffer	diplomat	@	kOf@rtj@	diplomat	@	kOf@rtj@	0.5690000000000168	0.4980000000000188	0.0619999999999834	38.28760928549902	1.0	2.0	2.0	0.0	1.0	2.0	2.0	0.0	1.0	1.0	-0.0	1.8365012677171204
1077	Netherlandic	liefdesbrief	livd@zbrif	0.7490000000000236	liefde	s	brief	livd@	z	brif	livd@	z	brif	0.3140000000000214	0.353999999999985	0.0810000000000172	33.912324234904794	60.0	353.0	353.0	0.0	0.2553191489361702	35.0	35.0	0.0	1.0	1.0	2.649707363525254	3.1043366598147353
1078	Netherlandic	aanbevelingsbrieven	amb@velINzbriv@	1.0190000000000057	aanbeveling	s	brief	amb@velIN	z	briv@	amb@velIN	z	briv@	0.5250000000000057	0.4339999999999975	0.0600000000000022	37.22757459545416	10.0	46.0	46.0	0.0	0.0425531914893617	2.0	2.0	0.0	1.0	1.0	2.649707363525254	1.0
1079	Netherlandic	hartstocht	hArtstOxt	0.6639999999999873	hart	s	tocht	hArt	s	tOxt	hArt	s	tOxt	0.2729999999999961	0.3199999999999932	0.0709999999999979	19.04233684599734	135.0	147.0	194.0	47.0	0.7258064516129032	7.0	14.0	7.0	3.0	0.5	1.387427899644035	2.422064766172812
1080	Netherlandic	kennissenkring	kEn@s@krIN	0.7169999999999845	kennis	en	kring	kEn@s	@	krIN	kEn@s	@	krIN	0.33299999999997	0.3129999999999882	0.0710000000000263	22.49408050513017	8.0	8.0	8.0	0.0	0.25	1.0	1.0	0.0	1.0	1.0	2.0415301730294653	3.273018494406416
1081	Netherlandic	levensbehoefte	lev@zb@huft@	0.84699999999998	leven	s	behoefte	lev@	z	b@huft@	lev@	z	b@huft@	0.3929999999999722	0.3929999999999722	0.0610000000000354	33.66445916114804	3.0	2639.0	2639.0	0.0	0.2727272727272727	119.0	119.0	0.0	1.0	1.0	0.8453509366224364	3.3274662784287927
1082	Netherlandic	levenspositie	lev@spozitsi	1.0720000000000027	leven	s	positie	lev@	s	pozitsi	lev@	s	pozitsi	0.3340000000000032	0.6770000000000209	0.0609999999999786	28.555431131019017												0.7332852476782576
1083	Netherlandic	eengezinswoning	eNG@zInswonIN	1.02800000000002	eengezin	s	woning	eNG@zIn	s	wonIN	eNG@zIn	s	wonIN	0.5949999999999704	0.3730000000000473	0.0600000000000022	30.568292344032223												-0.0
1084	Netherlandic	klassenstelsel	klAs@nstEls@l	0.8369999999999891	klasse	en	stelsel	klAs	@	stEls@l	klAs	@	nstEls@l	0.2619999999999436	0.5449999999999591	0.0300000000000864	31.816807738815065												0.9351488556500321
1085	Netherlandic	vriendenkring	vrind@krIN	0.7339999999999236	vriend	en	kring	vrind	@	krIN	vrind	@	krIN	0.34699999999998	0.3159999999999172	0.0710000000000263	26.05752961082924	12.0	39.0	39.0	0.0	0.375	5.0	5.0	0.0	1.0	1.0	2.0415301730294653	0.3119440063147402
1086	Netherlandic	afscheidsreceptie	AfsxE+tsr@sEpsi	1.0399999999999636	afscheid	s	receptie	AfsxKt	s	r@sEpsi	AfsxE+t	s	r@sEpsi	0.4549999999999272	0.5249999999999773	0.0600000000000591	32.77128093554509	1.0	238.0	238.0	0.0	1.0	14.0	14.0	0.0	1.0	1.0	-0.0	0.10309349296410361
1087	Netherlandic	pandjeshuis	pAntj@shY+s	0.7179999999999893	pandje	s	huis	pAntj@	s	hLs	pAntj@	s	hY+s	0.3129999999999882	0.323999999999998	0.081000000000003	27.6243093922652	30.0	46.0	46.0	0.0	0.155440414507772	5.0	5.0	0.0	1.0	1.0	3.1655358366511948	0.8073549220576043
1088	Netherlandic	jodenhaat	jod@hat	0.5669999999999789	jood	en	haat	jod	@	hat	jod	@	hat	0.3139999999999929	0.2029999999999745	0.0500000000000113	28.14814814814813	2.0	9.0	9.0	0.0	0.1666666666666666	5.0	5.0	0.0	1.0	1.0	0.6500224216483541	0.35908109330482835
1089	Netherlandic	levensloop	lev@slop	0.6490000000000009	leven	s	loop	lev@	s	lop	lev@	s	lop	0.3050000000000068	0.2630000000000052	0.0809999999999888	27.35332956046028	9.0	2639.0	2639.0	0.0	1.0	119.0	119.0	0.0	1.0	1.0	-0.0	0.7332852476782576
1090	Netherlandic	ogenblik	oG@blIk	0.3850000000000477	oog	en	blik	oG	@	blIk	oG	@	blIk	0.1720000000000254	0.1720000000000254	0.0409999999999968	28.37573385518596	839.0	912.0	912.0	0.0	0.9311875693673696	3.0	3.0	0.0	1.0	1.0	0.411183829708904	1.5999128421871278
1091	Netherlandic	appartementsgebouw	ApArt@mEntsx@bA+	1.084999999999999	appartement	s	gebouw	ApArt@mEnt	s	x@bMw	ApArt@mEnt	s	x@bA+	0.6499999999999986	0.3740000000000005	0.0609999999999999	26.07444704189894	4.0	5.0	10.0	5.0	0.0275862068965517	2.0	3.0	1.0	2.0	0.6666666666666666	2.5120654604129697	1.5849625007211563
1092	Netherlandic	toerental	tur@tAl	0.6910000000000025	toer	en	tal	tur	@	tAl	tur	@	tAl	0.3050000000000068	0.3149999999999977	0.0709999999999979	18.05416248746236	9.0	12.0	12.0	0.0	0.1836734693877551	3.0	3.0	0.0	1.0	1.0	1.057993526946801	3.9818526532897405
1093	Netherlandic	huizenblok	hY+z@blOk	0.6350000000000193	huis	en	blok	hLz	@	blOk	hY+z	@	blOk	0.3020000000000209	0.2720000000000198	0.0609999999999786	21.373441519889187	8.0	17.0	21.0	4.0	0.5	3.0	5.0	2.0	2.0	0.6	1.0	1.712718047919529
1094	Netherlandic	appartementsgebouw	ApArt@mEntsx@bA+	0.9939999999999998	appartement	s	gebouw	ApArt@mEnt	s	x@bMw	ApArt@mEnt	s	x@bA+	0.6410000000000053	0.2920000000000016	0.0609999999999928	24.825446082234315	4.0	5.0	10.0	5.0	0.0275862068965517	2.0	3.0	1.0	2.0	0.6666666666666666	2.5120654604129697	1.5849625007211563
1095	Netherlandic	brievenbus	briv@bYs	0.7189999999999941	brief	en	bus	briv	@	b}s	briv	@	bYs	0.3240000000000123	0.3349999999999795	0.0600000000000022	21.563981042654035	186.0	209.0	209.0	0.0	0.9117647058823528	4.0	4.0	0.0	1.0	1.0	0.4305518670104394	0.36257007938470825
1096	Netherlandic	mannenstem	mAn@stEm	0.578000000000003	man	en	stem	mAn	@	stEm	mAn	@	stEm	0.242999999999995	0.2740000000000009	0.061000000000007	21.563981042654035	14.0	123.0	132.0	9.0	0.5	26.0	27.0	1.0	2.0	0.9629629629629628	1.2958363892911635	1.652752590263121
1097	Netherlandic	brievenbus	briv@bYs	0.8379999999999939	brief	en	bus	briv	@	b}s	briv	@	bYs	0.3329999999999984	0.4240000000000066	0.0809999999999888	16.716673810544375	186.0	209.0	209.0	0.0	0.9117647058823528	4.0	4.0	0.0	1.0	1.0	0.4305518670104394	0.36257007938470825
1098	Netherlandic	veiligheidsketting	vE+l@xhE+tskEtIN	1.233000000000004	veiligheid	s	ketting	vKl@xhKt	s	kEtIN	vE+l@xhE+t	s	kEtIN	0.6970000000000027	0.4449999999999932	0.0910000000000081	21.81416540107692												0.017702001733458986
1099	Netherlandic	onderscheidingsvermogen	Ond@rsxE+dINsf@rmoG@	1.397999999999996	onderscheiding	s	vermogen	Ond@rsxKdIN	s	f@rmoG@	Ond@rsxE+dIN	s	f@rmoG@	0.6689999999999827	0.6690000000000111	0.0600000000000022	43.63312555654512	1.0	3.0	3.0	0.0	0.0047393364928909	3.0	3.0	0.0	1.0	1.0	2.4671724736191414	0.45943161863729726
1100	Netherlandic	ballingsoord	bAlINsort	0.7890000000000015	balling	s	oord	bAlIN	s	ort	bAlIN	s	ort	0.3340000000000032	0.3740000000000023	0.0809999999999959	19.383587077608617												1.0
1101	Netherlandic	afscheidsgeschenken	AfsxE+tsx@sxENk@	0.960000000000008	afscheid	s	geschenk	AfsxKt	s	x@sxENk@	AfsxE+t	s	x@sxENk@	0.4240000000000066	0.4950000000000045	0.0409999999999968	26.218870571729195												0.10309349296410361
1102	Netherlandic	engelenkoor	EN@l@kor	0.6639999999999873	engel	en	koor	EN@l	@	kor	EN@l	@	kor	0.2860000000000013	0.3059999999999832	0.0720000000000027	25.723472668810714	10.0	28.0	28.0	0.0	0.7692307692307693	7.0	7.0	0.0	1.0	1.0	0.9912642605354288	1.7279204545631992
1103	Netherlandic	doodskist	dotskIst	0.6349999999999909	dood	s	kist	dot	s	kIst	dot	s	kIst	0.2390000000000327	0.2939999999999827	0.1019999999999754	30.497253134244303	164.0	1456.0	1553.0	97.0	0.82	41.0	45.0	4.0	3.0	0.9111111111111112	0.7357948629753385	1.1770544655004174
1104	Netherlandic	gezinslid	x@zInslIt	0.6460000000000719	gezin	s	lid	x@zIn	s	lIt	x@zIn	s	lIt	0.3430000000000746	0.2019999999999981	0.100999999999999	20.990374579612823	7.0	86.0	86.0	0.0	0.0210843373493975	19.0	19.0	0.0	1.0	1.0	3.003860332005317	0.23878685958711665
1105	Netherlandic	levenstijd	lev@stE+t	0.8700000000000045	leven	s	tijd	lev@	s	tKt	lev@	s	tE+t	0.3940000000000054	0.3640000000000327	0.1119999999999663	20.464146595709625	2.0	2639.0	2639.0	0.0	0.0046728971962616	119.0	119.0	0.0	1.0	1.0	2.552232016307984	0.7332852476782576
